Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"OilersNation , OilersNation.com",b'ICYMI: Andrej Sekera was back at practice with the Oilers today and @cooom  has the details: https://t.co/SzjgLKawRC #Oilers #YEG',https://oilersnation.com/2018/11/27/andrej-sekera-skating-at-practice,"['Oilers', 'YEG']",Wed Nov 28 06:00:21 +0000 2018,47384,1398,0,10
"OilersNation , OilersNation.com",b'RT @Robin_Brownlee: How is the official supposed to see white ice between the back of the goal line and the front of the puck when he has h\\u2026',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 05:46:11 +0000 2018,47384,1398,29,0
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: Big win for Hitch Daddy! #BoozeNotBeets https://t.co/M2qoNu9dI5',https://www.pscp.tv/w/bs4aizF4ZUtXV3pWZHJLUHd8MWt2SnBFemtiRG94RXXxRnAcPD2RTmx17DJOHVUadB_MyEoUk4OK8bmcVHPY,['BoozeNotBeets'],Wed Nov 28 05:10:12 +0000 2018,47384,1398,3,0
"OilersNation , OilersNation.com",b'Fresh Oil: GDB 24.0 Wrap Up: Oilers had to score twice in OT to win it for Hitch https://t.co/w7qNErAjsD',https://oilersnation.com/2018/11/27/game-recap-24-0-edmonton-oilers-vs-dallas-stars/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,Wed Nov 28 05:09:05 +0000 2018,47384,1398,3,12
"OilersNation , OilersNation.com","b""Nation 3 Fists presented by @CBmortgageteam \\n\\n\\U0001f44a\\U0001f44a\\U0001f44a\\nOne goal games make Hitch Daddy happy\\n\\U0001f44a\\U0001f44a\\nMikko 'The Answer' Koskinen\\n\\U0001f44a\\nAbsbomb for the win""",no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 05:06:39 +0000 2018,47384,1398,1,28
"OilersNation , OilersNation.com",b'POST GAME SIDELINE REPORT FROM @cooom\\n- BOOOO REFS BOOOOOOO\\n- It has been decided. Mikko Koskinen is now The Answer.',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:45:22 +0000 2018,47384,1398,7,87
"OilersNation , OilersNation.com",b'The Oilers score twice in OT and slide back into the win column like... https://t.co/RB8mjBc4E1',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:43:13 +0000 2018,47384,1398,41,221
"OilersNation , OilersNation.com",b'KLEFBOM WITH THE OT WINNER! 1-0 Oilers. -bm https://t.co/Mt723iz78T',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:41:19 +0000 2018,47384,1398,5,75
"OilersNation , OilersNation.com",b'Oh my. https://t.co/G9vKBJ592C',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:40:57 +0000 2018,47384,1398,44,136
"OilersNation , OilersNation.com","b""RT @iguessilldothis: @OilersNation Hey, the Oilers won a challenge with Anaheim, it's time to lose the next 38 in a row again!""",no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:38:50 +0000 2018,47384,1398,5,0
"OilersNation , OilersNation.com",b'BOOOOOOOOOOOOOOO!* -bm \\n\\n*expected',no external urls in this tweet,no hashtags in this tweet,Wed Nov 28 04:37:50 +0000 2018,47384,1398,3,34
