Twitter Handle & User Name,Tweet, external URL,Hashtags,Filter Words,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide","b""RT @Lowetide: For @TheAthleticEDM The Oilers need a first-shot scoring winger and Ryan Spooner isn't it. So, what's next? \\nhttps://t.co/kFj\\u2026""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 27 20:11:01 +0000 2018,24945,12864,1,0
"Lowetide , Lowetide","b""RT @TheAthleticEDM: Latest from @Lowetide: Oilers need a first-shot scoring winger and Ryan Spooner isn't it. So what's next? https://t.co/\\u2026""",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 27 15:03:45 +0000 2018,24945,12864,2,0
"Lowetide , Lowetide","b""For @TheAthleticEDM The Oilers need a first-shot scoring winger and Ryan Spooner isn't it. So, what's next?\\u2026 https://t.co/cto4IsgCxu""",https://twitter.com/i/web/status/1067433409641771011,no hashtags in this tweet,"['oiler', 'game', 'win']",Tue Nov 27 15:02:11 +0000 2018,24945,12864,1,8
"Lowetide , Lowetide","b'Oilers leaving California with an aching in the standings, finding a winger who can push the river with Nuge is Hit\\u2026 https://t.co/4KVfQw6RcH'",https://twitter.com/i/web/status/1067075944966287361,no hashtags in this tweet,"['oiler', 'game', 'win']",Mon Nov 26 15:21:45 +0000 2018,24945,12864,1,10
"Lowetide , Lowetide",b'RT @BrandonGowton: Reminder: Donovan McNabb has as many wins (4-0) in the last 22 Eagles vs. Giants games as Eli Manning (4-18).',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Sun Nov 25 23:34:58 +0000 2018,24945,12864,790,0
"Lowetide , Lowetide",b'RT @Rob_Tychkowski: It\\u2019s better watching this game in the US because you get to see all of the American Grey Cup commercials.',no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Sun Nov 25 23:34:31 +0000 2018,24945,12864,44,0
"Lowetide , Lowetide","b'RT @Lowetide: For @TheAthleticNHL Oilers No. 3 prospect, winter 2018: Tyler Benson https://t.co/wKMWLlA4pm #Oilers #Condors'",https://theathletic.com/669514/2018/11/24/oilers-no-3-prospect-winter-2018-tyler-benson/,"['Oilers', 'Condors']","['oiler', 'game', 'win']",Sun Nov 25 00:21:25 +0000 2018,24945,12864,1,0
"Lowetide , Lowetide","b'Ducks mur-diddly-urderers when McDavid on the ice, stripes goes snow blind. Plus delaying the game until 97 gets ba\\u2026 https://t.co/WScRMUMpjU'",https://twitter.com/i/web/status/1066357523416903680,no hashtags in this tweet,"['oiler', 'game', 'win']",Sat Nov 24 15:47:00 +0000 2018,24945,12864,0,9
"Lowetide , Lowetide","b'For @TheAthleticNHL Oilers No. 3 prospect, winter 2018: Tyler Benson https://t.co/wKMWLlA4pm #Oilers #Condors'",https://theathletic.com/669514/2018/11/24/oilers-no-3-prospect-winter-2018-tyler-benson/,"['Oilers', 'Condors']","['oiler', 'game', 'win']",Sat Nov 24 15:01:47 +0000 2018,24945,12864,1,8
"Lowetide , Lowetide",b'RT @DuckMillard: We tee things up for this Sunday from a #Stamps POV with pre/post game host Dave Rowe next on #SportsNight on @TSN1260 on\\u2026',no external urls in this tweet,"['Stamps', 'SportsNight']","['oiler', 'game', 'win']",Fri Nov 23 06:03:17 +0000 2018,24945,12864,1,0
